	CH2500	CH2502	CH2522	F1659
PA14_06210	29	63	64	46
PA14_06230	12	17	12	94
PA14_06240	26	36	29	62
PA14_06250	27	35	59	59
PA14_06260	28	78	47	76
PA14_06270,catD	21	9	6	24
PA14_06280	32	32	31	56
PA14_06290,glcB	666	928	1015	1118
PA14_06300	25	65	33	104
PA14_06310	34	110	45	134
PA14_06320,rarD	61	54	60	61
PA14_06330	76	121	149	91
PA14_06340,modR	43	79	78	66
PA14_06350,yfiM	2	4	9	11
PA14_06360,comF	5	10	12	17
PA14_06390	18	29	29	56
PA14_06400	51	39	52	129
PA14_06420	7	5	10	25
PA14_06430	8	4	15	27
PA14_06450,accC	23	31	60	62
PA14_06460	14	40	49	52
PA14_06480	17	18	41	59
PA14_06500,bioB	454	465	568	473
PA14_06510,bioF	171	106	251	128
PA14_06530,bioH	42	78	98	37
PA14_06540,bioC	88	82	141	108
PA14_06570,bioD	19	20	72	24
PA14_06580	10	58	64	37
PA14_06600	105	185	186	374
PA14_06620	41	72	57	104
PA14_06640	106	146	203	286
PA14_06650,nirN	314	511	760	606
PA14_06660,nirE	215	289	573	348
PA14_06670,nirJ	364	449	759	609
PA14_06680,nirH	177	253	375	295
PA14_06690,nirG	126	203	277	240
PA14_06700,nirL	135	210	333	243
PA14_06710,nirD	135	179	287	206
PA14_06720,nirF	332	506	844	634
PA14_06730,nirC	188	230	300	229
PA14_06740,nirM	171	222	290	226
PA14_06750,nirS	1391	1524	1652	1622
PA14_06770,nirQ	94	178	425	143
PA14_06790,nirO	95	111	307	113
PA14_06800	35	37	116	44
PA14_06810,norC	224	245	398	265
PA14_06830,norB	599	723	1239	756
PA14_06840,norD	370	520	1291	434
PA14_06860	56	66	81	83
PA14_06870,dnr	101	197	236	168
PA14_06875,rsmY	48	55	56	64
PA14_06880	14	22	21	88
PA14_06890	30	43	41	72
PA14_06900	14	14	22	22
PA14_06920,argD	12	21	33	55
PA14_06930	34	22	15	51
PA14_06940	403	39	26	104
PA14_06950	411	93	120	133
PA14_06960	62	43	57	75
PA14_06970	23	17	34	35
PA14_06980	69	118	158	173
PA14_06990	145	235	270	292
PA14_07000,dsbB	58	95	107	68
PA14_07010	7	18	9	54
PA14_07020	5	20	11	34
